Tarih;Saat;Sembol;Aksiyon;Fiyat;Eski Sembol;Yeni Sembol
28.01.2026;14:24:13;ESCOM;Sembol Değişti;-;ESCOM;PGSUS
28.01.2026;14:31:10;Bilinmiyor;Oturum Başladı;-;;T
28.01.2026;14:31:12;T;Oturum Kapandı;-;;T
28.01.2026;14:31:13;Bilinmiyor;Oturum Başladı;-;;THYAO
28.01.2026;14:31:14;THYAO;Sembol Değişti;-;THYAO;PGSUS
28.01.2026;14:31:15;PGSUS;Sembol Değişti;-;PGSUS;THYAO
28.01.2026;14:31:40;THYAO;Sembol Değişti;-;THYAO;ASTOR
28.01.2026;14:32:32;ASTOR;Sembol Değişti;-;ASTOR;SASA
28.01.2026;14:36:59;Bilinmiyor;Oturum Başladı;-;;THYAO
28.01.2026;14:36:59;THYAO;Sembol Değişti;-;THYAO;SASA
28.01.2026;14:37:00;SASA;Sembol Değişti;301,75;SASA;THYAO
28.01.2026;14:37:33;THYAO;Sembol Değişti;-;THYAO;ASELS
28.01.2026;14:38:01;ASELS;Oturum Kapandı;312;;ASELS
28.01.2026;14:38:03;Bilinmiyor;Oturum Başladı;-;;ASELS
28.01.2026;14:38:04;ASELS;Sembol Değişti;-;ASELS;SASA
28.01.2026;14:38:04;SASA;Sembol Değişti;312,25;SASA;ASELS
